curve1,curve2
hindbrain_E9.5_embryo2_sc75-1-0,492.116444812856,492.540819763382
hindbrain_E9.5_embryo2_sc76-1-0,464.189172243384,463.477400729618
hindbrain_E9.5_embryo2_sc77-1-0,1298.17241254803,535.137572709741
hindbrain_E9.5_embryo2_sc78-1-0,1137.14893797024,1108.35093943194
hindbrain_E9.5_embryo2_sc79-1-0,458.643848992289,459.32560516631
hindbrain_E9.5_embryo2_sc80-1-0,545.435970359767,543.684093688101
hindbrain_E9.5_embryo2_sc81-1-0,1147.51578955019,NA
hindbrain_E9.5_embryo2_sc82-1-0,419.505614481407,419.44824106907
hindbrain_E9.5_embryo2_sc83-1-0,455.432300905377,455.360433411161
hindbrain_E9.5_embryo2_sc84-1-0,573.45584096452,576.960072374954
hindbrain_E9.5_embryo2_sc85-1-0,393.460131694394,393.099647111105
hindbrain_E9.5_embryo2_sc88-1-0,676.172515317651,669.703665874953
hindbrain_E9.5_embryo2_sc89-1-0,495.391943143868,495.302319667307
hindbrain_E9.5_embryo2_sc90-1-0,627.216467712989,626.439094271195
hindbrain_E9.5_embryo2_sc91-1-0,650.112956590426,670.956044186395
hindbrain_E9.5_embryo2_sc92-1-0,1385.36768948189,NA
hindbrain_E9.5_embryo2_sc93-1-0,1429.61283932414,NA
hindbrain_E9.5_embryo2_sc94-1-0,1342.5079293613,NA
hindbrain_E10.5_embryo1_sc33-0-1,868.912204482894,866.006951342073
hindbrain_E10.5_embryo1_sc36-0-1,1087.68077993013,1138.41986873407
hindbrain_E10.5_embryo1_sc37-0-1,901.214900671887,906.14001754678
hindbrain_E10.5_embryo1_sc38-0-1,NA,1553.90065776865
hindbrain_E10.5_embryo1_sc39-0-1,NA,1590.99285095727
hindbrain_E10.5_embryo1_sc40-0-1,NA,1272.73371630381
hindbrain_E10.5_embryo1_sc41-0-1,973.290988070258,1004.98976541472
hindbrain_E10.5_embryo1_sc42-0-1,868.912204482894,873.035571031919
hindbrain_E10.5_embryo1_sc43-0-1,987.427565729024,1006.9715670823
hindbrain_E10.5_embryo1_sc44-0-1,1009.12304016638,1051.33961217033
hindbrain_E10.5_embryo1_sc45-0-1,1029.03208657088,1078.26661341986
hindbrain_E10.5_embryo1_sc46-0-1,NA,1445.24294578708
hindbrain_E10.5_embryo1_sc47-0-1,NA,1478.0657780076
hindbrain_E10.5_embryo1_sc48-0-1,NA,1185.59753333287
hindbrain_E10.5_embryo1_sc50-0-1,NA,1552.49573682454
hindbrain_E10.5_embryo1_sc51-0-1,1048.33860984873,1112.03279478167
